TimeStamp,GSR Data,ECG Data,EMG Data,Acc1 X,Acc1 Y,Acc1 z,Acc2 X,Acc2 Y,Acc2 z
647,488,478,505,15568,-5448,3296,4432,4236,-15168
653,488,482,505,15592,-5568,3216,4340,4164,-14988
658,488,484,506,15500,-5480,3316,4440,4064,-15056
664,488,486,504,15548,-5440,3304,4372,4144,-15072
670,488,486,506,15548,-5416,3392,4364,4048,-15140
675,488,487,508,15624,-5468,3156,4344,4040,-15176
681,488,491,508,15644,-5520,3156,4404,4012,-15132
687,488,494,509,15604,-5532,3356,4368,3984,-15240
693,488,498,509,15632,-5440,3328,4324,4148,-15116
698,488,500,515,15596,-5504,3484,4356,3928,-15288
704,488,501,513,15584,-5532,3184,4396,4040,-15080
710,488,502,515,15600,-5404,3276,4348,4204,-15100
715,489,504,512,15612,-5484,3280,4308,4096,-15176
721,489,505,510,15612,-5484,3308,4372,4120,-15084
727,489,508,514,15656,-5436,3212,4264,4052,-15076
733,489,511,519,15560,-5516,3292,4304,3984,-14904
738,489,511,516,15580,-5536,3176,4356,4132,-15184
744,489,510,517,15540,-5468,3160,4356,4120,-15112
749,489,510,515,15576,-5568,3204,4448,4132,-15108
755,490,512,515,15612,-5368,3288,4328,4136,-15104
761,490,515,513,15552,-5472,3292,4320,4096,-15108
766,490,514,513,15536,-5532,3244,4332,4088,-15108
773,490,511,513,15592,-5612,3336,4368,4024,-15192
778,490,507,517,15532,-5392,3356,4352,3996,-15136
784,490,503,511,15504,-5404,3348,4432,4000,-15184
789,490,498,511,15592,-5380,3188,4388,4148,-15216
795,490,493,513,15592,-5448,3336,4440,4024,-14964
800,490,492,505,15612,-5504,3196,4384,4088,-15156
806,490,494,504,15524,-5476,3252,4328,4156,-15244
813,490,493,500,15660,-5536,3248,4400,4152,-15280
818,490,492,496,15580,-5472,3136,4364,4176,-15232
824,490,491,497,15580,-5456,3376,4272,4012,-15104
829,490,490,496,15556,-5432,3248,4348,4152,-15136
835,490,491,497,15624,-5376,3176,4372,4016,-15032
840,490,491,499,15612,-5500,3220,4364,4048,-15132
846,490,492,496,15572,-5380,3296,4384,4052,-15048
851,490,496,499,15504,-5436,3416,4260,4056,-15236
858,490,497,499,15608,-5404,3140,4312,4092,-15112
864,490,497,500,15632,-5440,3228,4372,4076,-15056
869,490,497,500,15568,-5468,3080,4412,4088,-15204
875,490,499,499,15548,-5528,3372,4388,4032,-15224
880,490,500,499,15568,-5496,3152,4364,4008,-15140
886,490,501,502,15556,-5480,3300,4420,4032,-15236
891,489,501,505,15572,-5420,3272,4400,4064,-15024
898,489,503,505,15584,-5532,3316,4360,4080,-15120
904,489,504,503,15652,-5472,3412,4364,4080,-15156
909,489,506,504,15632,-5448,3304,4328,4136,-15060
915,489,506,504,15568,-5420,3276,4388,4120,-15072
920,489,507,504,15640,-5444,3220,4340,4168,-14900
926,489,507,504,15612,-5468,3344,4320,4108,-15104
931,489,506,506,15476,-5388,3256,4348,4016,-14988
937,489,507,503,15556,-5440,3368,4304,4228,-15064
943,489,510,503,15500,-5396,3296,4304,4080,-15156
949,489,510,502,15532,-5520,3248,4340,4120,-15416
955,489,510,502,15576,-5572,3144,4268,4084,-15184
960,489,509,504,15592,-5412,3348,4188,4088,-15188
966,489,508,505,15596,-5448,3292,4276,4100,-15244
971,489,508,507,15628,-5464,3316,4316,4116,-15224
977,488,510,511,15544,-5452,3328,4272,3992,-15228
983,488,512,508,15572,-5456,3328,4368,4100,-15092
989,488,514,505,15476,-5460,3248,4344,4124,-14928
994,488,514,505,15612,-5512,3492,4380,4064,-15172
1000,488,513,505,15648,-5496,3284,4428,4112,-15132
1006,488,509,504,15576,-5408,3308,4320,4084,-15120
1011,488,507,505,15620,-5452,3248,4328,4132,-15116
1017,488,508,501,15560,-5476,3184,4364,4076,-15036
1022,488,510,501,15520,-5404,3192,4388,4128,-15176
1029,488,509,506,15596,-5484,3396,4404,4024,-15220
1034,488,508,505,15604,-5488,3164,4404,3996,-15064
1040,488,507,508,15640,-5480,3324,4344,4052,-15136
1045,488,506,509,15516,-5428,3284,4356,4004,-15092
1051,488,505,507,15652,-5440,3348,4384,4044,-15120
1057,488,506,504,15588,-5464,3120,4404,4104,-15120
1062,488,506,506,15584,-5324,3260,4388,4100,-15040
1069,488,507,507,15660,-5420,3288,4336,4176,-15052
1074,488,508,506,15468,-5428,3344,4252,4184,-15176
1080,488,510,509,15556,-5408,3436,4308,4120,-15092
1085,488,509,509,15716,-5496,3240,4208,4172,-15160
1091,488,509,510,15556,-5428,3404,4336,4172,-15076
1096,488,511,508,15544,-5420,3308,4224,4164,-15060
1102,488,509,508,15500,-5456,3316,4408,4160,-14924
1108,487,509,507,15504,-5468,3284,4332,4136,-15280
1114,487,513,510,15640,-5376,3220,4344,4144,-15208
1120,487,518,514,15572,-5420,3488,4404,4160,-15256
1125,487,523,511,15616,-5520,3280,4396,4104,-14972
1131,487,525,513,15572,-5456,3180,4328,4072,-15120
1136,487,523,516,15580,-5540,3104,4304,4220,-15104
1142,487,521,513,15568,-5444,3252,4400,4020,-15168
1148,487,515,507,15544,-5468,3228,4432,4028,-15164
1154,487,509,505,15544,-5480,3212,4196,3928,-15208
1160,487,505,507,15532,-5512,3232,4412,4080,-15040
1165,487,500,500,15504,-5428,3280,4436,4172,-15012
1171,487,500,501,15544,-5528,3360,4300,4128,-15132
1176,487,501,500,15580,-5456,3252,4412,4104,-15032
1182,487,504,499,15592,-5432,3248,4464,4152,-15268
1187,487,505,503,15592,-5452,3240,4416,4200,-15048
1193,487,504,503,15484,-5480,3220,4352,4032,-15172
1200,487,505,502,15544,-5532,3456,4432,4208,-15092
1205,487,505,504,15496,-5420,3372,4372,4032,-15128
1211,487,505,504,15668,-5440,3240,4288,4076,-15144
1216,487,504,505,15528,-5452,3268,4292,4064,-15060
1222,487,503,504,15652,-5408,3232,4220,4056,-15200
1227,487,503,507,15684,-5456,3184,4304,4092,-15096
1233,487,505,512,15560,-5508,3276,4272,4036,-15240
1239,487,505,502,15548,-5488,3300,4328,4044,-15116
1245,487,498,499,15604,-5436,3276,4256,3988,-15172
1251,487,480,496,15524,-5460,3260,4360,3996,-15096
1256,487,446,495,15512,-5464,3404,4332,3988,-15164
1262,487,431,499,15572,-5476,3072,4436,3976,-15224
1267,487,482,517,15532,-5484,3248,4416,4088,-15212
1273,487,589,537,15572,-5548,3148,4392,4240,-15156
1278,487,738,559,15520,-5376,3336,4424,4228,-15172
1285,487,849,573,15652,-5544,3272,4324,4088,-15096
1290,487,869,569,15556,-5504,3460,4480,4380,-15072
1296,487,776,545,15632,-5488,3272,4516,4216,-15220
1302,487,636,512,15592,-5460,3368,4476,4184,-15184
1307,487,523,494,15588,-5356,3172,4348,4180,-15016
1313,487,462,490,15612,-5520,3212,4300,4132,-15036
1318,487,438,494,15592,-5404,3200,4332,4256,-15092
1325,487,432,495,15604,-5484,3364,4256,4012,-15016
1330,487,433,495,15540,-5416,3252,4252,4156,-15224
1336,487,435,495,15564,-5404,3324,4260,4048,-15172
1341,486,436,494,15596,-5500,3172,4360,3996,-15160
1347,486,440,495,15560,-5560,3352,4296,3932,-15072
1353,486,444,495,15520,-5420,3136,4296,4052,-15100
1358,486,450,500,15600,-5504,3248,4204,4032,-15156
1364,486,456,498,15516,-5452,3336,4340,4008,-15272
1370,486,460,501,15644,-5532,3136,4376,4152,-15172
1376,486,463,497,15680,-5420,3424,4308,4000,-15188
1381,486,466,497,15564,-5400,3352,4376,4052,-15032
1387,486,470,500,15588,-5380,3292,4392,4048,-15052
1392,486,472,502,15588,-5436,3200,4368,4076,-15144
1398,487,474,508,15540,-5424,3172,4424,4052,-15248
1404,487,477,509,15572,-5472,3256,4416,4152,-15152
1410,487,479,508,15596,-5420,3296,4380,4188,-15136
1416,487,481,506,15600,-5452,3304,4412,4188,-15084
